것	A thing / an object
하다	To do
있다	1. to be (in a place); to exist 2. to have
있다	To be
되다	to become; (of a time) to come, to arrive
수	way, method, means
나	I
그	He, That
없다	Do not exist, absent
않다	To not do
사람	Person
우리	we, our
이	A person, This
아니다	To not be
보다	To see, to watch, to look at
등	rank
때	occasion; time
거	thing
보다	to try out (+auxiliary)
같다	To be similar
주다	To give, to do for a person
대하다	Face, confront
가다	To go
년	Year
한	One, a single
말	words, speaking
일	Work
때문	Because of
말하다	Speak
위하다	To do for the sake of
그러나	However / but still
오다	To come
알다	To know
씨	~ Mr.
그렇다	That is right / yes.
크다	To be big, large
또	also, too
일	day
사회	culture, society
많다	many, much
안	~ not ~ + VERB
좋다	To be good
더	More
받다	Receive
그것	That thing
집	House
나오다	Come out
따르다	follow
그리고	And / and then
문제	question, problem
그런	Such a
살다	To live
저	That
못하다	Be impossible
생각하다	To think
모르다	To not know
속	The inside
만들다	To make
데	Place, point, instance
두	two
앞	In front of, before
경우	A case / an instance
중	The center, the middle
어떤	What kind of, what sort of
잘	Well
그녀	She
먹다	Eat
자신	one's own self, one's own body
문화	culture
원	A unit of south korean money, KRW
생각	Thought
어떻다	how, what do you think of
명	Person counter
통하다	Run, lead; flow; go through
그러다	and so, and then, well
소리	A sound, noise
다시	Again
다른	Different
이런	Such, like this
여자	woman, female
개	Unit / piece
정도	grade, degree
뒤	back, latter, rear
듣다	to listen, to hear
다	All, everything
좀	A little
들다	to enter/go into; stay at hotel/inn
싶다	want, hope
보이다	see, catch sight of
가지다	To have / take / hold
함께	Together, with
아이	Child
지나다	pass, elapse, go on
많이	A lot
시간	Time
너	You
인간	A person, a human being
사실	The truth, a fact
나다	To be born
이렇다	Like this
어머니	Mom
눈	Eyes
뭐	1. Huh? 2. something
점	point, spot
의하다	To be due to, owing to
시대	An age, period
다음	Next
이러하다	Be this way, be like follows
누구	Who
전	Before
곳	a place
여러	many, various
하나	One
세계	World
버리다	(following a verb) the verb's action is over, perhaps in a sad way
위	The upper part, above
운동	Motion, movement
퍼센트	Percent
학교	School
자기	Oneself, number one, numerouno, self
가장	Most
대통령	The president
가지	One of the kind / a sort
들다	to hold, to carry; to give
시작하다	To start, begin
바로	Right, correctly
어느	Some, a certain
그래서	And so accordingly
무엇	That thing, whatever
정부	Government
모든	Every one
번	Number, how many times
그거	That thing
돈	Money
국가	A state / a nation
그런데	But / however
날	Day
여기	A hobby
모두	Everybody
여성	Female
동무	A friend
마음	Heart
후	After
놓다	Put, place
관계	Connection / relation
아버지	Father
남자	Boy
어디	Where
몸	body, physique
얼굴	Face
들어가다	to go into; to enter
왜	Why
나타나다	Come out, appear
말다	Cease
지역	An area, region
다르다	Be different
모습	shape, body
물	Water
만나다	Meet
내다	produce something
보이다	to show, to cause to see
쓰다	To write
이것	This thing
없이	Without
이번	This time
길	Road
생활	lifestyle, livelihood
쓰다	to use, to take (medicine)
지금	Now
뿐	only, alone, merely
사이	space between 2 points; the relationship between 2 people
방법	Way, method
새롭다	To be new, novel
우리나라	Korea
앉다	To sit down
처음	First
손	The hand
몇	A few
그때	Then / at that time
과정	Process, course of events
삶	Life
갖다	to have, hold, own
찾다	seek, look for
특히	Especially
시	Time
이상	More than, above
나가다	To go out
이야기	Conversation, talk
교육	Education
사다	To buy, purchase
경제	Economy
아직	Still
잡다	seize, catch
같이	Together
선생님	Teacher
예술	Art, an art
서다	To stand
못	Cannot
역사	History
읽다	To read
이제	Now
결과	Result
내용	Contents
물론	Of course
동안	interval, period of time
책	A book
일어나다	To rise, get up
당신	Formal you
시장	market, fair
넣다	Put in, set in
중요하다	To be important, weighty
무슨	What, what kind of
느끼다	To feel
어렵다	To be hard, difficult
힘	Power
너무	Too much
나라	A country
부르다	To call
의미	A meaning, a sense
자리	seat, spot
밝히다	To light up
죽다	die, pass away
이미	Already
쪽	Way, direction
정치	Politics
국민	The people / a nationality
생명	Life
얘기	Story
학생	Student
연구	Research
엄마	Mom
이름	Name
내리다	Descend
사건	An event, incident
및	As well as
쉽다	To be easy
짓다	To make, build; to form a line (a group)
또한	also, too, furthermore
이유	Reason
또는	if not; alternatively
필요하다	To need
글	words, a verse
생기다	arise, occur, happen
사용하다	To use
남편	Husband
들어오다	to enter, to come in
밖	The outside
세상	The world, society
작다	Small
타다	Ride (a vehicle)
대학	University
작품	A work of art
상황	State of things
가운데	In the middle
보내다	Send
두다	To put, to leave behind, to preseive
즉	namely, that is to say
따라서	therefore; in accordance with
상태	condition, state
이후	After that
당시	At that time
문학	Literature
더욱	More and more
아주	Extremely
지방	A locality, district
밤	Night
높다	High
최근	Recently
채	As it is, no change
현실	Actuality, reality
환경	Environment
컴퓨터	Computer
먼저	First
다니다	Go to and from a aplace
얼마나	How many, how much
자체	one's own body
열다	Open
머리	Head
묻다	to Ask
남다	Remain, be left over
부분	part, portion
기업	An enterprise / business
거기	There (location)
변화	Change, transformation
아들	son, baby
뜻	meaning; sense
아	Oh dear
기다리다	To wait
떨어지다	to fall; tumble; drop
선거	An election
관하다	Refer to / be about
분	Minutes
그냥	Just because / in that condition
나누다	To divide
이용하다	To use, make use of
거의	Almost / nearly
곧	Soon
중심	The nucleus, the focus, the heart
활동	Activity
오늘	Today
서로	mutually, one another
관심	Concern / interest
역시	As expected, likewise
이거	This thing
애	A baby / a slightly derogative word for person
광고	Advertisement
방	A room
정신	mind, spirit
이르다	To reach, arrive, get at
땅	earth, land, soil
이루다	Accomplish, complete
아침	Morning
웃다	To laugh, smile
현상	The present situation, state
떠나다	to leave, to exit
기술	Art / technique / ability
전체	The whole, the entire section
그래	So / yes / that's right
얻다	Get, obtain
아름답다	To be beautiful
끝	The end
민족	race, nation, people
간	The interval between
조사	investigation, inquiry
듯	To be like something
입	Mouth
그대로	Like that
영화	A movie
필요	Need, requirement, necessity
줄	way, method
하늘	The sky
년대	Year
과학	Science
듯하다	to be regarded as; to appear to be
자연	Nature
정말	true / genuine; Really
구조	Construction / structure
결국	After all / in the end
밥	Rice, a meal
입다	To wear
오히려	Rather, preferably
프로그램	Program
네	Yes
이루어지다	Get accomplished, achieved
남	Others, other people
하루	A day
그림	A picture
적	The time, the occasion, when
터	one's status, one's lot
마시다	To drink
치다	to attack, assault
혼자	Alone
교수	Teaching / instruction
술	Alcohol
사랑	Love
의식	consciousness; awareness
전화	Telephone
끝나다	To draw to a close / to end
돌아오다	to return, to come back
맞다	Be right, correct; to match, be fitting for
아빠	Dad
걸리다	To be hung up / suspended
지키다	Protect, maintain
한번	Once
커피	Coffee
가슴	Chest
길다	To be long
바라보다	Look at, watch; to look forward to, hope for
알아보다	To investigate, examine, search
회사	A company
맛	Flavor
대부분	Most
산업	Industry
매우	Very
오르다	Go up, climb, ascend
음식	Food
표정	Facial expression, look
꼭	For sure
일부	A part, a portion
요즘	Recently, nowadays
계획	A plan / a project
느낌	Touch, feel
얼마	How many, how much
고개	head; nape of the neck
성격	Personality; character, nature
계속	Continuously
세기	Century
세우다	To stand up (an object), to erect
아내	Wife
가족	Family
현재	The present time, now, at present
세	Three
발전	Development
차	A vehicle, train/auto car
놀다	Play, amuse oneself
향하다	To face, look out on
관련	Relation / connection / reference
형태	Form, shape
각	Each / every
도시	City
작업	Work
분위기	atmosphere, surroundings
그러하다	To be so / right
나이	Age
우선	First of all, before everything
믿다	Believe
바꾸다	change, exchange
낳다	To give birth
바	A thing, what
정보	information, intelligence
열리다	Open, be opened, be unlocked
좋아하다	To like, be fond of
그리다	Picture / draw a picture
만큼	Of that amount
배우다	To learn
시	poem, poetry
역할	A part, a role
옆	Next to
행동	Action, behavior
어	Oh, well, why
국내	Inside the country
비하다	Compare to
기관	An engine / a machine
입장	A position, situation
만하다	Be of the extent of
예	Example
아래	The bottom, the lower part
방식	A form, method, process
영향	Influence, consequences
그럼	Certainly / of course
나서다	Come out, come forth
흐르다	Flow, stream
깊다	Deep
배	A boat (boating)
내	Inside
모양	A shape, form
산	A mountain
새	New
하지만	But, nevertheless
조건	condition, stipulation
문	Door
꽃	Flower
단계	A step, phase
올리다	Raise, lift up
그동안	During that time
교사	Instructor
갑자기	Suddenly
넘다	Cross / go across
지니다	Carry with, hold, possess
바람	Wind
잘하다	To do well
마을	Town
어리다	To be very young, juvenile
대표	Representative
가능성	Possibility
방향	Direction
대회	A great meeting
목소리	Voice
노래	Song
바다	Sea
힘들다	To be hard, difficult
공부	Study
움직이다	To move, stir
의원	A member
노력	Effort
전혀	entirely, utterly, completely
언니	Older sister (female speaker)
단체	A corps, a group
알려지다	To become known
가능하다	To be possible
능력	Ability, capability, how much and how well
주장하다	To assert, maintain
자식	one's children
돌리다	to turn (e.g. A clock), to spin
불	Fire
주민	inhabitants, dwellers
모으다	gather, get together
자료	materials, data
존재	Existence
학년	A school year
신문	A newspaper
이해하다	To understand
제품	Manufactured goods
분야	Field
선생	Teacher
돌아가다	to return, to go back
사업	Business
행위	An act, deed, behavior
수준	Level
지난해	Last year
표현	Verbal expression, representation, manifestation
기분	Mood
대	generation; replacement
젊다	To be young, youthful
동시	the same time; concurrently
옷	Clothes
기능	Function / functionality
순간	A moment, a second
전쟁	War
꿈	A Dream
할머니	Grandmother
회의	A meeting, a conference
방송	Broadcast
이야기하다	To talk
나무	Tree
자다	To sleep
연극	drama, a play
마찬가지	The same
걷다	To walk
노동	Labor, work
이때	At this time, moment
과거	The past
가치	Price
집단	A group, a collective body
현대	The present age, times
살펴보다	Watch closely
장관	A government cabinet minister
차이	difference, disparity
풀다	Untie, loosen; to melt into
시절	season, time, occasion
물건	A thing
직접	Directly
개인	Private / individual
근데	But / however
발	Foot
작가	writer, author
효과	Effect, effectiveness
불교	Buddhism
끌다	Pull
대로	Like, according to
빨리	Quickly
시작되다	To begin, start
둘	two (with counters)
설명하다	To explain
우주	The universe
시기	An opportunity, chance
마치	As though, as if
살	Years old
생산	1. production 2.birth
바라다	Wish, hope
강하다	To be strong / powerful
경험	Experience / undergo / suffer
음악	Music
최고	The best
나타내다	Show, display
아프다	To hurt
적다	To be small, few in number
비	Rain
고향	Hometown
놀라다	Be surprised
다양하다	To be various, diverse
울다	To cry, weep
농민	A farmer
드러나다	to appear, to become manifest
은행	A bank
지내다	To pass, spend time
결혼	Marriage
동생	younger sibling
법	A law, the law
소설	A novel, fiction story
오후	The afternoon
질서	Order, system
담다	Put in a bottle
모이다	Meet, assemble
시민	Residents of a city
회장	Chariman, the president
빠르다	Be fast, quick
스스로	On its own, of its own free will
아기	baby, infant
아저씨	Sir, calling an unknown male
옛날	Ancient times, antiquity
이날	Today, this day
제대로	As properly is suitable
달	The moon
던지다	To throw
참	really, truly
공간	Space / room
이곳	This place, here
딸	daughter (female child)
마지막	Last, final
벌이다	1. to plan to start a job/project 2. to play a table game
병원	Hospital
자세	Position, posture
강조하다	Place empasis upon
경찰	The police
맡다	Take charge of
저녁	Evening
한편	One side, one way; on the other hand, while
그러면	If so / if that is the case
기자	A journalist
넓다	Broad
시험	A test
잠	Sleep
주로	principally, mainly
훨씬	By far, very much so
면	Side
통일	Unification
들어서다	to enter, to take up a position, to occupy
건강	Health
가깝다	Close
건물	Building
시설	establishment, institution
외국	A foreign country
밑	The bottom
어른	A man, an adult
주변	A circumference
대신	Instead of
원인	A cause, a factor
팔다	To sell
차례	1. order, precedence 2. one time, one round
군	An army
열심히	Enthusiastically, with zeal
일하다	To work, labor
재산	property, fortune, assets, possessions
조금	A little
팀	Team
부모	Parents
약간	a little, a bit; somewhat
언어	language, speech
요구하다	To demand, claim, request
올라가다	To go up, ascend
첫	First
감독	The director
그날	That day / that same day
자주	Always, constantly
당하다	Have, encounter
삼다	Make a thing of
약	About, approximately
기간	A period / a time or
담배	Tobacco
일으키다	Raise, get up; start, commence
일단	Temporarily
할아버지	Grandfather
조직	Organization (composition, structure)
태어나다	To be born, see the light of day
공장	Construction site
벌써	Already
즐기다	Enjoy oneself, take pleasure, delight
지	since, from
환자	A patient
변하다	Change
사고	An accident
그래도	All the same
아무리	However much
맞추다	Adjust, adapt
쌀	Uncooked rice
일반	universal, common, usual
재미있다	interesting, fun
가르치다	To teach
대화	Conversation
막다	Stop, obstruct
올해	This year
형	An elder brother (male speaker)
달리	Differently
붙이다	affix, put on
인물	A man, a person
늘	Always
전국	The whole country
마치다	Finish, complete
전	whole; entire
다만	Only, merely
도움	Help
가정	Family
걸다	Hang up / suspend
빠지다	To fall into
멀다	To be far
